urb,age,hhchildsuppgrant,no_schooling,secondary,female,married,groupafrican,groupcoloured,hourlyincome,agemp
1,61,0,0,1,0,1,0,0,3.8095765,0
1,25,0,0,0,1,0,0,0,3.227488,0
1,45,0,0,0,0,1,0,0,3.655426,0
0,41,0,0,0,0,1,0,1,4.0484686,0
1,28,0,0,0,0,1,1,0,3.6169162,0
0,57,0,0,0,0,1,0,1,1.6973233,1
0,25,0,0,1,0,0,0,1,3.2719398,0
0,37,0,0,0,0,1,0,1,1.8636664,1
1,19,0,0,0,1,0,0,1,3.0676394,0
0,43,0,0,0,1,1,0,1,2.1703815,1
0,55,0,0,0,0,1,0,1,3.5864329,0
0,43,0,1,0,0,0,0,1,2.1897995,1
1,22,0,0,0,0,0,0,1,4.0608912,0
0,28,0,0,0,0,1,0,1,2.5183039,1
0,18,0,0,0,1,0,0,1,1.9021177,1
0,41,0,0,0,1,1,0,1,2.4815903,0
0,36,0,0,0,0,0,0,1,3.9431081,0
1,23,0,0,0,1,0,0,1,2.6701424,0
0,34,0,0,0,1,1,1,0,2.2951603,0
0,47,0,0,0,1,1,0,1,2.1252613,1
1,39,0,0,0,1,1,1,0,2.5952649,1
0,28,0,0,0,1,1,0,1,2.007478,1
0,56,0,0,0,1,1,0,1,1.9021177,1
0,45,0,0,0,0,1,0,1,3.367744,0
1,35,0,0,0,1,1,0,1,2.4390306,0
0,33,0,0,0,1,1,0,1,2.4129434,1
0,22,0,0,1,1,0,0,1,2.0074782,1
0,22,0,0,0,0,1,0,1,1.6858945,1
1,32,0,0,0,0,1,1,0,2.6838181,0
0,55,0,1,0,0,1,0,1,1.9384854,1
1,29,0,0,0,0,0,1,0,2.9435716,0
0,31,0,0,1,0,1,0,1,4.3317661,0
0,33,0,0,0,1,1,0,1,2.8547761,1
1,35,0,0,0,1,0,0,0,3.3553214,0
0,40,0,0,0,1,0,0,1,1.8020343,0
0,57,0,1,0,0,1,0,1,2.1326413,1
0,26,0,0,0,0,1,0,1,1.5917327,1
1,21,0,0,0,1,0,0,1,2.6598034,0
1,30,0,0,0,0,0,0,1,3.6775408,0
0,39,0,0,0,0,0,0,1,1.9384854,1
1,42,0,0,0,0,1,1,0,3.0268173,0
1,23,1,0,0,1,0,0,1,1.9021177,1
1,44,1,0,1,0,0,1,0,2.8547761,0
0,29,0,0,0,1,1,0,1,1.7197961,1
1,30,0,0,0,0,1,0,1,2.5952649,0
1,59,0,0,0,1,0,1,0,4.0223813,0
1,35,0,0,0,1,0,0,1,2.4129434,0
0,52,0,0,0,0,1,0,1,1.5374745,1
1,26,0,0,0,0,1,1,0,3.2884121,1
1,59,0,0,0,0,1,0,1,2.8547761,0
1,32,0,0,0,1,0,0,1,2.7006254,0
0,49,0,1,0,0,1,0,1,2.8257885,0
0,36,0,0,0,0,1,0,1,2.7673986,1
0,30,0,1,0,1,1,1,0,2.0074782,1
0,30,0,0,1,0,1,0,1,3.5592871,0
0,37,0,0,0,0,1,0,1,2.2306218,1
0,33,0,0,0,0,1,0,1,2.8444958,0
0,43,0,0,0,1,1,0,1,2.2794118,1
0,63,0,0,0,0,0,0,1,2.0074782,1
1,27,0,0,0,1,0,0,1,3.3300035,0
