distfe,wave,length,expectedlength
10-20,64,14446.729982589517,6173.053612187528
10-20,68,9337.16545667838,13735.840672864457
10-21,61,14836.793174810024,24141.798728380018
10-21,64,70060.79986750556,36757.49147415399
10-21,68,63363.978744047796,87362.28158382938
10-22,61,3260.726087181597,7812.823547151266
10-22,64,7749.344072415977,10577.565266875716
10-22,68,34054.53478773483,26674.216133305425
10-23,61,27360.45539402823,6185.018495826538
10-23,64,12684.821886382815,10236.935546823872
10-24,61,529.1997493607716,5718.92268559374
10-24,64,32267.63400864635,8543.449242970775
10-24,68,2179.1886795627115,20713.650509005318
10-25,61,32369.102723454813,28533.611655388486
10-25,64,96688.5031848822,45380.739542001895
10-25,68,50821.6915636896,105964.94627463621
10-26,61,4306.507601556298,7088.404818339229
10-26,64,31839.089172957003,11339.111277864044
10-26,68,8796.12284734333,26514.20352565336
10-27,61,44862.60587905602,39430.355573794426
10-27,64,130222.17299359443,61294.560267933375
10-27,68,68184.60963024883,142544.47266117146
10-28,61,56384.89342076131,70190.00806063451
10-28,64,152983.61559153986,109692.56237338846
10-28,68,229134.91387408332,258620.85245236155
10-29,61,4647.609071393994,5593.936255612488
10-29,64,25834.420189346536,8514.55457239733
10-29,68,3665.842402411993,20039.380835142703
10-3,61,695.0764230074085,2787.495721052302
10-3,64,10976.032264063171,4608.753979662188
10-3,68,6402.740318735874,10677.599305091964
10-30,61,1785.0862461014344,1800.2347719124507
10-30,64,3549.5386849965607,2824.3361620844976
10-30,68,6345.880057463123,7055.934054564171
10-31,61,9069.67594518494,48241.01301037956
10-31,64,155758.10233593624,68531.1467824852
10-31,68,333084.4361213809,291082.1361544659
10-32,61,16052.78725416503,41919.01813940969
10-32,64,112816.10148659513,65971.07213718342
10-32,68,135688.34746473416,156667.14592890118
10-33,61,4370.387916880653,2410.9875642941747
10-33,68,9284.679010788459,7789.021270269677
10-34,61,8462.430011208839,10445.360078928636
10-34,64,46367.80249235883,16413.134705395205
10-34,68,9981.635390364623,37953.37310960846
10-35,61,25242.277240804993,30534.165145594125
10-35,64,53433.46900763313,46410.96146810824
10-35,68,107705.22734794715,109435.84698268291
10-36,61,7540.446919194908,23477.405306186454
10-36,64,59574.322024937544,37455.01925332913
10-36,68,78513.48943518892,84695.8338198058
10-37,61,19643.138631571375,24318.481733112625
10-37,64,32074.844049494524,38639.824415819974
10-37,68,100237.92129054185,88997.59782267516
10-38,61,4057.4580172129754,3568.616668430949
10-38,64,6354.041916855097,5360.373517901868
10-38,68,11549.611077131041,13032.120824866297
10-4,61,23429.021814726122,44442.472734028466
10-4,64,84062.67163093126,69298.44783338447
10-4,68,168858.19432668068,162608.96720492517
10-5,61,37604.28485046701,68052.89154988836
10-5,64,201525.6153177331,109984.8932353829
10-5,68,193904.80588157233,254996.9212645012
10-6,61,19095.110411870217,12358.135556507243
10-6,64,39451.53695893382,19554.48969806738
10-6,68,18886.125857504507,45520.147973733925
10-7,61,7286.356605549159,19685.71319458922
10-7,64,73468.90571779145,30442.207930615627
10-7,68,40464.09992138137,71091.44111951714
10-8,61,21175.835334667754,35827.50987315948
10-8,64,225184.196367038,80911.28460614495
10-8,68,92893.30248278275,141978.26910985535
10-9,61,13683.213544602359,38342.60516198549
10-9,64,103467.75574610772,59331.82001992404
10-9,68,121389.73400731747,140866.27811611802
11-1,61,7182.472504836299,10033.958712868767
11-1,64,36232.56326874072,60227.242229371135
11-1,68,57991.72252943725,31145.55736077437
11-2,61,54415.14856652731,51644.38601708477
11-2,64,278499.21287804283,309057.933142257
11-2,68,187033.83810398245,159245.88038921074
11-3,61,56958.72002632695,38740.653758802146
11-3,64,291469.7260714943,236409.3953251176
11-3,68,49290.35640381418,122568.75341771555
11-4,61,23790.763601272083,49254.394529080746
11-4,64,298428.3941848558,295032.9205690644
11-4,68,175714.32745251947,153646.17014050228
12-1,61,50922.48855479153,47170.42281897029
12-1,64,66929.60078897414,38239.273703679035
12-10,64,20333.32449242314,6664.924368686188
12-11,61,18112.958065206087,32700.156742508938
12-11,64,65442.18236759797,27085.77349751727
12-12,68,61836.58969673628,16295.042318262902
12-13,61,20001.035150428776,13474.977810561302
12-13,64,12393.741225635451,10401.05161913786
12-14,61,13051.086335532751,12182.761705193392
12-14,68,16517.873803956467,7914.243994962463
12-15,61,35051.155625273386,14140.767468499442
12-16,61,9514.777177018614,81219.75053673098
12-16,68,195100.73110832492,56554.9588717734
12-2,61,22914.167999355042,43779.88255001299
12-2,64,33563.987437178774,35899.19247473923
12-2,68,51311.53006595702,28110.610477738628
12-3,61,13990.724704291802,12298.365892549476
12-3,64,16769.53265297672,9824.901481373732
12-4,61,12380.521092856545,6577.026782016106
12-4,64,3508.4381727279556,5055.297264855223
12-5,68,11814.234536159283,3255.3068745265946
12-6,61,34025.060934570756,31889.78588191997
12-6,64,45964.687155308224,25942.714595244885
12-9,61,17885.97459188585,14322.050935938389
12-9,64,14081.018848008995,11817.5949958423
12-9,68,4877.30256358239,10704.650071696546
13-11,68,13001.03854996958,13001.03854996958
13-4,68,16182.489130634312,16182.489130634312
13-9,68,29993.70635395153,29993.70635395153
15-1,61,48718.98061425189,20616.41161372284
15-1,64,29983.313789012027,21688.82662228652
15-1,68,1534.545807873588,9943.86748066294
15-2,61,9999.891237061349,4639.949533996465
15-3,61,68185.00185272853,69669.53119664472
15-3,64,43587.795727535115,57837.00906536505
15-3,68,38216.80292664822,22483.06024490208
15-4,61,39211.40760334272,64758.61107549974
15-4,64,53801.69734287614,53576.07238052552
15-4,68,46872.10541661475,21550.526906808347
15-5,61,37759.45400621804,43629.798506977604
