country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
MEX,2011,99,27.43,99.62,7347.82,13.69,24.3,62.02,46.86,43.28,79.15,114150481,78.11
MDA,2011,99.4,18.07,90.58,2253.98,27.53,18.75,53.73,41.51,39.31,45.63,2860699,42.59
MNG,2011,72.06,77.72,98.04,2182.02,33.03,17.34,49.63,32.6,54.9,66.42,2743938,67.96
MAR,2011,96.07,NA,93.69,2404.96,39.79,21.85,38.36,34.99,25.15,73.34,32903699,58.58
MOZ,2011,20.2,NA,87.69,407.63,75.68,5.72,18.6,NA,80.34,80.09,23760421,32.34
MMR,2011,54.13,NA,NA,136170.81,52.35,17.4,30.25,NA,52.32,79.94,49794522,29.08
NAM,2011,42.3,NA,NA,3481.75,29.53,13.27,57.2,NA,52.6,62.36,2132340,42.64
NPL,2011,67.26,25.31,99.33,735.16,67.33,14.34,18.33,NA,23.97,57.9,27266399,17.11
NLD,2011,100,98.66,NA,37296.77,2.78,17.17,80.05,68.09,58.77,70.5,16693074,87.88
NZL,2011,100,99.44,NA,28592.36,6.93,20.38,72.69,59.63,62.01,74.17,4384000,86.1
NIC,2011,81.2,14.22,NA,1451.87,30.83,17.14,52.03,NA,45.24,83.78,5942553,57.11
NER,2011,14.3,1.52,59.88,448.53,77.06,7.32,15.62,70.98,68.56,90.28,17283112,16.22
NGA,2011,55.9,29.67,NA,2070.99,40.58,10.15,49.27,30.79,56.75,64.05,165463745,44.37
NOR,2011,100,NA,99.4,58879.6,2.37,20.25,77.38,55.62,61.64,68.76,4953088,79.46
OMN,2011,100,73.6,98.85,9855.8,5.24,36.78,57.98,NA,26.97,82.2,3206870,76.18
PAK,2011,87.84,10.31,63.07,1063.78,43.49,21.77,34.74,40.25,22.18,77.94,198602738,35.2
PLW,2011,98.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,18240,75.51
PAN,2011,88.55,24.93,95.14,NA,16.55,18.74,64.71,43.39,45.19,77.98,3688674,65.44
PNG,2011,17.33,NA,NA,NA,25.06,7.57,67.37,NA,47.72,49,7806637,13
PRY,2011,98.24,21.72,89.84,4651.52,25.52,17.82,56.66,56.83,54.48,81.39,5843939,59.58
PER,2011,89.71,20.46,99.18,4629.84,27.06,17.15,55.79,67.72,71.26,86.24,29477721,76.62
PHL,2011,87.2,26.56,NA,2399.68,32.61,15.36,52.03,43.14,48.79,75.69,96337913,45.52
POL,2011,100,70.19,94.79,9352.52,12.91,30.67,56.42,33.53,48.44,64.62,38063255,60.78
PRT,2011,100,81.23,99.03,15240.67,10.21,26.85,62.94,38.15,54.62,67.08,10557560,61.17
QAT,2011,100,65.88,99.36,NA,1.36,54.1,44.54,68.75,52.45,95.68,1804171,98.6
ROU,2011,97.43,44.59,95.59,5915.26,29.25,28.56,42.18,30.71,46.12,62.79,20147528,53.96
RUS,2011,99.21,48.18,97.27,7803.21,7.69,27.45,64.86,41.39,56.26,70.84,142960908,73.73
RWA,2011,10.8,32.76,NA,487.98,78.06,6.27,15.67,NA,54.32,68.3,10576932,16.94
WSM,2011,96.67,NA,95.03,NA,29.47,14.98,55.55,NA,41.06,66.64,196351,19.86
SMR,2011,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,32495,95.96
SAU,2011,100,46.42,97.13,18965.91,6.25,23.66,70.09,NA,20.46,77.03,30150945,82.3
SEN,2011,56.5,5.82,72.72,949.55,37.31,18.7,43.99,40.82,33.88,62.23,12875880,44.19
SRB,2011,99.74,62.22,97.38,4260.73,21.22,26.8,51.98,28.48,41.49,59.03,7234099,55.22
SLE,2011,14.2,15.34,NA,486.8,64.09,5.17,30.74,NA,59.27,60.3,6612385,39.25
SGP,2011,100,98.22,NA,NA,0.85,20.6,78.55,36.71,58.68,78.71,5183688,100
SVK,2011,100,79.58,83.32,11929.44,3.08,37.49,59.43,30.08,50.14,68.04,5398384,54.42
SVN,2011,100,97.14,99.67,16047.24,8.6,31.66,59.74,37.5,52.33,63.71,2052843,52.88
SOM,2011,52.01,NA,NA,NA,35.68,16.59,47.73,NA,20.59,48.82,12216837,41
ZAF,2011,83.6,53.65,NA,5048.62,17.65,20.83,61.52,29.89,49.74,63.38,52443325,62.75
SSD,2011,2.78,NA,43.45,NA,62.4,15.13,22.47,NA,69.62,72.66,10243050,18.03
ESP,2011,100,93.28,NA,20927.17,4.1,21.76,74.14,40.92,52.36,66.62,46742697,78.67
LKA,2011,87.76,68.53,94.98,NA,30.78,24.81,44.41,33.74,33.96,73.45,20859743,18.21
SDN,2011,38.34,6.9,58.75,1372.27,44.6,15.34,40.06,30.31,28.23,70.32,34419624,33.21
SUR,2011,94.6,NA,87.99,NA,6.9,25.1,68,32.66,41.42,65.24,552146,66.28
SWE,2011,100,98.99,99.48,42077.96,1.99,19.92,78.09,52.98,59.49,67.56,9449213,85.3
CHE,2011,100,NA,99.5,65222.5,3.51,22.28,74.21,68.56,60.53,74.67,7912398,73.63
SYR,2011,91.45,23.25,NA,NA,13.23,31.43,55.33,NA,14.92,71.77,22730733,54.58
TJK,2011,98.87,2.53,98.25,924.98,51.63,15.5,32.87,NA,29.89,55.36,7784819,26.52
TZA,2011,14.2,17.26,NA,616.46,69.64,5.92,24.44,66.19,83.01,88.68,46416031,28.8
THA,2011,99.32,72.67,NA,NA,41.01,19.44,39.55,47.95,65.91,81.11,68712846,44.7
TLS,2011,52.72,NA,92.9,NA,49.3,8.54,42.17,NA,61.91,72.93,1112976,28.08
TGO,2011,39.7,10.19,NA,394.39,37.05,18.68,44.27,64.78,55.34,61.57,6748672,38.03
TUR,2011,100,57.6,95.21,NA,24.16,26.46,49.38,38.47,28.24,70.54,74173854,71.4
TKM,2011,99.81,0.4,NA,NA,30.75,29.1,40.15,NA,49.54,47.57,5360811,48.83
TCA,2011,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,30816,90.67
UGA,2011,14.6,20.46,94.77,608.57,68.8,7.7,23.51,NA,65.57,74.92,33295738,19.9
UKR,2011,100,41.27,92.88,1882.55,16.1,27.02,56.88,NA,51.56,61.96,45706086,68.69
ARE,2011,100,59.73,NA,35487.82,3.54,27.65,68.81,NA,43.82,89.8,8575205,84.42
GBR,2011,100,97.2,98.14,35297.18,1.22,19.18,79.6,58.21,56.2,68.79,63258810,81.57
USA,2011,100,87.96,96.39,45102.56,1.76,19.44,78.8,54.97,57.05,69.15,311583481,80.94
URY,2011,99.17,23.54,99.69,12235.11,9.79,20.78,69.43,54.63,56.88,76.15,3361637,94.61
UZB,2011,99.66,22.5,92.7,NA,27.09,22.73,50.17,NA,43.09,73.01,29339400,51.15
VEN,2011,98.84,44.12,94.78,NA,8.05,21.8,70.15,40.66,49.64,78.07,29096159,88.11
VNM,2011,99,21.37,99.4,1302.21,48.31,21.28,30.41,56.34,71.58,81.27,88349117,31.08
YEM,2011,62,3.66,NA,NA,26.08,16.95,56.97,NA,8.75,68.17,25475610,32.36
ZMB,2011,28.32,21.36,89.56,NA,65.01,9.29,25.7,NA,51.58,67.3,14265814,39.85
ZWE,2011,36.9,39.65,NA,917.55,65.86,9.09,25.04,72.65,60.84,71.57,13025785,33.02
DZA,2011,99,33.29,99.09,3382.29,10.77,30.86,58.37,26.78,14.86,67.87,36543541,68.24
AFG,2012,69.1,NA,NA,NA,50.18,17.19,32.63,38.77,16.19,77.9,30466479,24.16
AGO,2012,37.26,NA,NA,2312.59,53.32,8.12,38.56,NA,74.86,79.95,25188292,61.27
ARG,2012,99.14,NA,99.27,11669.24,8.92,21.68,69.4,40.52,48.06,73.27,41733271,91.12
ARM,2012,99.54,NA,96.41,3145.71,37.25,17.68,45.07,32.61,55.45,68.86,2914421,63.24
AUS,2012,100,NA,97.99,NA,2.8,20.7,76.49,67.52,58.75,71.71,22733465,85.4
AUT,2012,100,NA,88.43,36310.67,4.68,26.08,69.24,58.15,54.99,66.92,8429991,57.15
BHR,2012,100,NA,92.75,17002.53,1.09,35.08,63.82,NA,42.82,86.65,1224939,88.76
BGD,2012,65.55,NA,NA,1075.1,45.91,19.61,34.48,NA,31.6,82.7,152090649,31.99
BRB,2012,100,NA,NA,NA,2.82,18.75,78.44,47.17,61.08,71.95,276197,31.55
BLR,2012,95.58,NA,94.28,4972.18,11.42,31.79,56.79,NA,57.66,69.77,9446836,75.7
BEL,2012,100,NA,97.99,32684.08,1.17,21.76,77.07,31.48,47.1,59.74,11106932,97.74
BLZ,2012,90.92,NA,99.54,3309.63,17.71,15.23,67.06,53.18,46.09,79.36,337059,45.25
BEN,2012,38.4,NA,95.51,838.82,41.58,18.87,39.55,NA,67.82,73.59,10014078,44.13
BTN,2012,91.5,NA,91.47,1967.65,58.11,8.08,33.81,32.31,63.09,65.52,721145,36.37
BOL,2012,90.39,NA,88.39,2342.1,30.86,17.83,51.31,44.87,57.65,79.56,10569697,67.32
BIH,2012,99.72,NA,NA,3361.97,20.56,30.36,49.08,29.25,34.11,58.06,3674374,46.2
BWA,2012,55.97,NA,88.26,4244.68,24.47,16.29,59.24,NA,53.99,66.84,2175425,64.77
BRA,2012,99.52,NA,98.55,7792.83,11.35,23.35,65.31,57.07,52.39,75.77,199977707,84.92
BGR,2012,94.73,NA,97.19,5552.77,6.44,31.32,62.24,30.43,47.85,58.75,7305888,72.98
BFA,2012,15.07,NA,66.07,529.23,78.18,6.02,15.8,NA,58.26,77.18,17113732,25.77
BDI,2012,6.5,NA,NA,177.54,87.2,3.23,9.56,NA,80.69,77.64,9795479,11.19
CPV,2012,83.25,NA,93.81,2382.08,16.9,17.85,65.26,NA,49.19,69.34,533864,62.82
KHM,2012,42.3,NA,97.41,875.09,53.19,17.76,29.05,61.66,61.33,74.64,14786640,21.04
CMR,2012,55.16,NA,94.09,996.27,51.38,13.12,35.51,NA,68.77,79.8,21032684,52.77
CAN,2012,100,NA,99.45,35539.64,1.75,20.46,77.78,63.51,62.12,71.01,34714222,81.14
CAF,2012,10.97,NA,NA,497.98,70.15,6.8,23.05,NA,63.06,78.42,4773306,39.39
TCD,2012,7.79,NA,NA,633.49,72.66,6.59,20.75,NA,52.43,73.99,12754906,22.14
CHL,2012,100,NA,94.54,10436.53,10.09,23.8,66.11,37.37,47.78,72.09,17341771,87.19
CHN,2012,99.95,NA,NA,4997.18,33.6,30.3,36.1,NA,63.35,77.31,1354190000,51.77
COL,2012,97.03,NA,95.24,4605.89,17.41,20.66,61.93,53.6,57.6,81.76,45782417,78.7
COM,2012,69.3,NA,NA,1096.11,41.63,17.99,40.38,NA,32.66,55.3,684553,28.12
COD,2012,15.4,NA,NA,291.54,62.64,8.46,28.9,35.94,62.47,69.72,70997870,41.08
COG,2012,41.6,NA,89.29,1361.36,35.11,24.88,40.01,NA,66.77,69.18,4713257,64.17
CRI,2012,99.5,NA,99.47,9608.89,13.58,18.27,68.15,48.16,51.25,77.46,4736593,73.95
CIV,2012,55.8,NA,NA,1026.68,46.33,11.45,42.22,50.99,53.5,75.84,22010712,48.17
HRV,2012,100,NA,98.58,9298.33,12.25,27.91,59.83,30.09,44.54,58.86,4267558,55.51
CUB,2012,98.26,NA,98,6024.22,19.26,19.19,61.55,NA,41.86,69.79,11309290,76.78
CZE,2012,100,NA,88.26,11677.01,3.05,38.12,58.83,31.27,50.04,67.69,10510785,73.2
DNK,2012,100,NA,98.24,42430.49,2.64,19.77,77.59,60.99,58.15,66.6,5591572,87.14
DJI,2012,54.6,NA,NA,NA,1.65,5.18,93.17,NA,17.69,48.28,954297,77.14
DMA,2012,93.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,68888,68.69
DOM,2012,97.87,NA,93.69,5295.4,11.36,18.57,70.07,41.18,45.03,73.68,10030882,75.8
ECU,2012,97.19,NA,97.92,4763.93,27.98,17.52,54.5,43,48.06,77.09,15483883,62.99
EGY,2012,99.7,NA,98.54,2807.84,27.07,24.86,48.07,33.57,22.47,74.14,91240376,42.95
SLV,2012,93.68,NA,94.51,3017.51,20.97,20.98,58.05,48.19,46.36,76.27,6161289,67.19
GNQ,2012,65.75,NA,47.39,3689.23,53.7,16.13,30.16,NA,50.99,60.5,1193636,69
ERI,2012,42.35,NA,70.32,NA,63.53,8.48,27.99,NA,71.61,85.07,3252596,36.37
EST,2012,100,NA,99.63,12651.8,4.49,31.1,64.4,40.73,55.38,68.22,1322696,67.97
SWZ,2012,54.3,NA,88.34,2646.02,14.48,24.92,60.6,NA,46.58,56.87,1111444,22.85
ETH,2012,29.02,NA,79.25,367.81,72.07,8.23,19.69,NA,74.26,88.46,94451280,18.16
EMU,2012,100,NA,98.62,27415.97,3.51,24.46,72.03,40.65,50.52,64.06,336183135,75.72
FJI,2012,92.62,NA,99.07,NA,30.55,15.45,54,NA,44.21,78.84,911059,53.2
FIN,2012,100,NA,99.1,34790.61,4.16,22.79,73.06,51.6,55.96,63.64,5413971,84.84
FRA,2012,100,NA,98.92,29896.22,2.92,21.76,75.32,33.37,51.55,61.86,65662240,78.88
GAB,2012,89.3,NA,NA,4195.83,34.4,12.02,53.57,NA,39.7,56.93,1836705,86.63
GMB,2012,49.86,NA,70.28,444.08,52.2,6.46,41.34,42.26,50.15,68.22,2061014,57.11
GEO,2012,100,NA,98.78,2925.98,47.13,10.82,42.05,41.7,57.26,79.64,3728874,56.3
DEU,2012,100,NA,88.53,33195.93,1.56,28.19,70.25,50.7,54.02,66.43,80425823,77.17
GHA,2012,56.51,NA,91.22,1272.5,44.21,14.47,41.32,NA,66.65,74.19,26858762,52.07
GRC,2012,100,NA,97.73,14587.41,13,16.54,70.45,29.31,44.1,60.8,11045011,77
GRD,2012,90.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,115912,35.87
GTM,2012,86.83,NA,NA,3127.21,32.26,19.5,48.25,57.92,45.03,86.12,14781942,49
GIN,2012,26.2,NA,74.18,584.37,65.01,5.81,29.18,NA,50.86,65.29,10788692,34.26
GNB,2012,14.93,NA,NA,400.04,57.74,9.8,32.46,NA,48.66,64.45,1652717,40.91
GUY,2012,85.09,NA,97.28,NA,19.16,23.48,57.36,NA,39.22,71.59,743966,26.4
HTI,2012,37.9,NA,NA,1238.18,49.15,11.86,38.99,NA,61.21,70.45,10108539,49.48
HND,2012,83.61,NA,84.39,1826.91,37.01,19.93,43.07,48.11,38.24,78.38,8792367,53.2
HUN,2012,99.97,NA,96.14,8698.12,5.06,29.79,65.14,25.69,44.55,59.07,9920362,69.68
IND,2012,79.9,NA,96.99,1172.38,47,24.36,28.64,34.27,27.08,78.35,1274487215,31.63
IDN,2012,96,NA,95.95,2263.62,35.93,21.07,43,48.07,51.44,83.39,250222695,51.28
IRN,2012,99.53,NA,98.02,4856.44,18.39,32.73,48.88,27.87,14.7,65.72,77324451,71.76
IRQ,2012,99.3,NA,NA,6927.48,22.74,20.8,56.47,29.96,11.9,71.43,33864447,69.43
IRL,2012,100,NA,99.75,28870.34,5.79,16.98,77.23,50.27,54.77,68.76,4599533,61.94
ISR,2012,100,NA,97.66,27644.78,1.11,17.49,81.4,52.46,58.1,69.3,7910500,91.96
ITA,2012,100,NA,99.46,24905.37,3.69,27.58,68.72,28.56,39.72,59.26,59539717,68.68
JAM,2012,93.1,NA,NA,4502.23,18.07,15.46,66.47,30.92,53.13,68.8,2759817,54.13
JPN,2012,100,NA,NA,25618.33,3.75,25.48,70.77,41.5,48.06,70.71,127629000,91.15
JOR,2012,99.5,NA,75.45,NA,3.54,22.47,73.99,NA,13.94,60.61,7211863,88.19
KAZ,2012,100,NA,99.36,6905.63,25.54,19.38,55.08,NA,66.47,75.63,16792090,56.97
KEN,2012,38.13,NA,81.23,1018.42,38.7,13.21,48.1,NA,71.19,76.77,43725806,24.38
KIR,2012,76.66,NA,NA,1803.77,NA,NA,NA,NA,NA,NA,111618,49.08
PRK,2012,33.57,NA,NA,NA,47,14.29,38.72,NA,69.31,80.16,24887770,60.74
KOR,2012,100,NA,97.97,21037.36,6.05,24.42,69.53,24.54,50.33,73.27,50199853,81.85
XKX,2012,NA,NA,NA,NA,NA,NA,NA,21.86,NA,NA,1807106,NA
KWT,2012,100,NA,98.76,44508.84,2.37,24.74,72.9,NA,48.79,85.85,3394663,100
KGZ,2012,99.8,NA,97.41,859.51,30.09,21.71,48.2,48.85,51.9,77.47,5607200,35.42
LAO,2012,76.37,NA,94.32,1318.74,68.75,8.78,22.47,NA,56.82,64.8,6508803,31.26
LVA,2012,100,NA,97.18,9229.54,8.37,23.48,68.15,40.14,54.32,66.4,2034319,67.9
LBN,2012,99.53,NA,NA,6662.62,3.9,23.09,73.01,NA,24.13,67.9,5178337,87.64
LSO,2012,20.56,NA,89.66,920,30.74,33.89,35.37,NA,57.89,74.19,2054718,25.7
LBR,2012,9.25,NA,NA,NA,44.36,10.04,45.6,NA,71.79,82.85,4331740,48.58
LBY,2012,78.68,NA,NA,NA,18.01,20.41,61.59,17.69,33.9,61.22,5869870,78.51
LIE,2012,100,NA,98.48,NA,NA,NA,NA,53.02,NA,NA,36505,14.37
LTU,2012,100,NA,99.35,10396.74,8.8,25.08,66.12,29.29,53.2,63.22,2987773,66.86
LUX,2012,100,NA,95.74,66281.45,1.33,12.67,86,26.77,51.89,65.7,530946,89.25
MDG,2012,18.7,NA,NA,341.13,68.87,7.69,23.44,90.02,83.71,89.07,22966240,33.23
MWI,2012,7.4,NA,NA,NA,66.77,7.36,25.87,NA,67.92,77.5,15581251,15.81
MYS,2012,99.8,NA,98.54,6401.07,13.25,27.58,59.17,NA,46.59,77.93,29660212,72.28
MDV,2012,99.21,NA,NA,NA,10.15,19.87,69.98,NA,38.05,67.25,387539,37.27
MLI,2012,25.6,NA,67.05,556.03,72.34,6.5,21.16,NA,60.16,80.84,16514687,37.6
MLT,2012,100,NA,99.76,NA,1.04,22.17,76.79,51.71,38.2,65.87,420028,94.21
MRT,2012,36.42,NA,72.05,1470.33,34.78,17.32,47.9,24.61,27.32,61.22,3636113,48.4
MUS,2012,99.37,NA,93.79,7365.82,7.66,27.99,64.35,42.71,42.56,73.86,1255882,41.33
MEX,2012,99.11,NA,99.56,7423.74,13.72,24.06,62.22,47.22,44.32,79.44,115755909,78.41
MDA,2012,99.52,NA,90.53,2347.92,26.45,19.28,54.27,41.5,38.21,43.57,2860324,42.56
MNG,2012,83.71,NA,97.47,2738.61,35.02,18.17,46.81,38.33,54.36,65.87,2792349,68.03
MAR,2012,96.44,NA,93.01,2444.03,39.22,21.38,39.4,33.5,24.39,72.56,33352169,59.14
MOZ,2012,21.21,NA,87.94,430.03,74.82,6.15,19.03,NA,79.8,80.08,24487611,32.85
MMR,2012,55.3,NA,NA,1785.48,52.38,17.08,30.53,NA,51.93,79.72,50218185,29.27
NAM,2012,46.4,NA,96.35,3604.76,27.37,13.88,58.75,31.11,53.09,62.42,2167470,43.69
NPL,2012,75.21,NA,99.91,766.42,66.75,14.47,18.79,NA,24.48,57.36,27330694,17.46
NLD,2012,100,NA,NA,36875.1,2.73,17.21,80.06,69.21,59.3,70.89,16754962,88.59
NZL,2012,100,NA,NA,28915.2,6.82,20.28,72.9,59.27,62.08,73.49,4408100,86.16
NIC,2012,81.28,NA,NA,1496.49,31.81,16.45,51.75,70.4,46.12,83.54,6030607,57.31
NER,2012,14.4,NA,61.17,462.74,74.55,7.16,18.29,30.26,66.44,88.64,17954407,16.21
NGA,2012,53.02,NA,NA,2320.82,39.46,10.94,49.59,NA,54.19,61.51,170075932,45.25
NOR,2012,100,NA,99.69,60569.58,2.23,20.23,77.54,57.03,61.58,69.07,5018573,79.87
OMN,2012,100,NA,97.51,10690.47,5.25,37.28,57.48,NA,27.56,83.95,3535579,77.56
PAK,2012,88.57,NA,62.69,1063.53,42.86,22.34,34.8,NA,22.46,78.37,202205861,35.41
PLW,2012,97.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,17946,76.19
PAN,2012,89.32,NA,94.76,NA,16.71,18.25,65.04,45.92,47.44,79.01,3754862,65.74
PNG,2012,17.54,NA,NA,NA,23.67,7.81,68.52,NA,47.6,48.92,8026545,12.98
PRY,2012,97.84,NA,87.84,4440.8,26.14,16.88,56.98,59.01,59.88,82.7,5923322,59.91
PER,2012,91.1,NA,93.94,4939.38,26.15,17.76,56.09,67.25,70.97,86.18,29749589,76.8
PHL,2012,87.08,NA,NA,2577.75,32.16,15.27,52.56,42.63,48.31,75.14,98032317,45.71
POL,2012,100,NA,95.57,9529.42,12.58,30.42,57.01,33.58,48.83,64.87,38063164,60.65
PRT,2012,100,NA,99.12,14541.23,10.81,25.15,64.04,37.08,54.68,66.28,10514844,61.76
QAT,2012,100,NA,97.93,NA,1.35,51.78,46.87,69.24,52.94,95.61,1905660,98.7
ROU,2012,97.77,NA,94.38,6021.33,29.71,28.21,42.08,30.54,46.27,63.66,20058035,53.97
RUS,2012,100,NA,97.34,8082.85,7.33,27.81,64.86,39.58,56.19,70.94,143201721,73.79
RWA,2012,17.5,NA,NA,512.97,76.61,6.86,16.53,NA,54.38,68.08,10840334,16.94
WSM,2012,96.78,NA,96.11,NA,28.79,14.78,56.42,21.85,41.23,66.9,198124,19.62
SMR,2012,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,33132,96.17
SAU,2012,100,NA,99.85,19557.9,6.16,23.68,70.15,NA,21.02,78.58,30821543,82.52
SEN,2012,56.5,NA,75.88,933.32,36.15,18.66,45.19,NA,33.97,61.1,13231833,44.6
SRB,2012,99.79,NA,96.35,3921.7,20.96,26.46,52.58,29.63,41.85,59.57,7199077,55.36
SLE,2012,17.16,NA,95.91,610.63,61.68,5.48,32.84,NA,58.29,59.41,6788587,39.64
SGP,2012,100,NA,NA,NA,0.8,20.25,78.95,37.78,59.46,78.79,5312437,100
SVK,2012,100,NA,84.24,12266.22,3.24,37.54,59.23,30.49,50.68,68.37,5407579,54.28
SVN,2012,100,NA,99.6,15239.29,8.39,30.97,60.64,34.46,52.22,63.04,2057159,53.11
SOM,2012,51.76,NA,NA,NA,35.64,16.68,47.68,NA,20.64,48.65,12440326,41.56
ZAF,2012,85.2,NA,NA,5072.79,16.21,20.59,63.2,29.41,49.29,63.41,53145033,63.27
SSD,2012,3.3,NA,NA,1164.26,63.03,14.26,22.71,NA,69.66,72.51,10701604,18.22
ESP,2012,100,NA,NA,20385.29,4.22,20.67,75.11,39.03,52.94,66.13,46773055,78.9
LKA,2012,87,NA,95.24,NA,30.99,26.07,42.94,33.39,32.66,74.32,21017147,18.2
SDN,2012,40.7,NA,55.15,1087.26,44.6,14.7,40.7,NA,28.17,70.02,35159792,33.35
SUR,2012,94.59,NA,88.45,NA,6.84,25.09,68.07,30.96,42.18,65.64,558111,66.21
SWE,2012,100,NA,99.6,41531.23,2.06,19.64,78.3,52.58,59.73,67.39,9519374,85.62
CHE,2012,100,NA,99.46,66759.43,3.53,21.61,74.86,67.58,60.82,74.48,7996861,73.65
SYR,2012,90.71,NA,NA,NA,13.7,28.12,58.18,NA,15.12,71.9,22605577,53.56
TJK,2012,99.1,NA,98.66,983.42,50.63,15.92,33.45,NA,30.39,54.79,7956382,26.55
TZA,2012,15.3,NA,87.5,572.84,69.37,6.02,24.62,71.89,82.08,88.48,47786137,29.49
THA,2012,99.11,NA,NA,NA,42.14,19.82,38.03,47.5,65.3,81.19,69157023,45.45
TLS,2012,55.95,NA,91.37,NA,50.29,7.86,41.85,NA,61.67,72.79,1137676,28.43
TGO,2012,39.13,NA,NA,363.36,37.07,18.62,44.31,NA,55.37,61.48,6926635,38.55
TUR,2012,100,NA,93.8,NA,23.56,26.03,50.42,37.37,28.9,70.01,75277439,71.97
TKM,2012,99.88,NA,NA,NA,29.89,29.64,40.47,NA,49.15,47.14,5458682,49.18
TCA,2012,93.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32081,91.09
UGA,2012,20.47,NA,NA,580.33,66.14,8.02,25.85,53.69,65.75,74.8,34273295,20.42
UKR,2012,99.87,NA,93.63,2076.66,15.9,27.18,56.93,NA,51.27,62.32,45593342,68.78
ARE,2012,100,NA,93.24,36722.33,3.27,28.67,68.06,NA,45.24,90.41,8664969,84.75
GBR,2012,100,NA,98.37,35183.5,1.19,19.07,79.74,58.64,56.41,68.87,63700215,81.84
USA,2012,100,NA,97.27,46383.94,1.69,19.47,78.84,54.88,56.8,69.12,313877662,81.12
URY,2012,99.6,NA,99.66,11812.22,8.61,21.13,70.26,53.43,56.52,74.85,3371133,94.74
UZB,2012,99.72,NA,94.31,NA,26.6,22.7,50.7,NA,42.64,72.97,29774500,51.05
VEN,2012,99.28,NA,94.64,NA,7.74,21.26,70.99,39.85,49.48,77.18,29470426,88.12
VNM,2012,97.89,NA,98.2,1418.95,47.37,21.19,31.44,55.04,71.77,80.9,89301326,31.75
YEM,2012,52.41,NA,85.52,NA,27.1,16.06,56.84,NA,7.7,67.72,26223391,32.96
ZMB,2012,29.19,NA,90.88,NA,63.63,10.07,26.31,NA,51.62,67.13,14744658,40.35
ZWE,2012,44,NA,94.59,1077.36,65.79,8.61,25.59,48.26,60.79,71.8,13265331,32.83
DZA,2012,98.76,NA,NA,3597.44,10.88,30.83,58.3,NA,15.7,67.35,37260563,68.92
AFG,2013,68.04,NA,NA,NA,47.64,19.54,32.82,NA,17.12,77.05,31541209,24.37
AGO,2013,38.4,NA,NA,2450.64,55.52,8.08,36.4,NA,74.86,79.95,26147002,62
ARG,2013,99.29,NA,99.45,11782.05,8.72,21.99,69.28,40.1,47.65,72.87,42202935,91.25
ARM,2013,99.42,NA,96.59,3269.15,36.28,17,46.72,39.68,55.53,69,2901385,63.16
AUS,2013,100,NA,97.48,NA,2.62,20.45,76.93,66.82,58.67,71.37,23128129,85.5
AUT,2013,100,NA,88.42,35955.37,4.58,25.91,69.52,57.74,55.29,66.93,8479823,57.34
BHR,2013,100,NA,93.77,17739.25,1.09,35.11,63.8,NA,42.99,86.74,1261673,88.84
BGD,2013,61.5,NA,NA,1118.9,45.1,20.79,34.11,45.42,32.01,81.95,154030139,32.76
BRB,2013,100,NA,NA,NA,2.71,18.92,78.37,47.2,62.02,71.99,276865,31.43
BLR,2013,96.18,NA,93.53,4964.76,10.83,31.49,57.68,NA,57.88,70.03,9443211,76.2
BEL,2013,100,NA,98.03,32776.03,1.36,21.7,76.94,30.99,47.77,59.67,11159407,97.79
BLZ,2013,91.13,NA,98.82,3337.84,17.46,14.93,67.61,46.02,46.7,79.32,344688,45.28
BEN,2013,34.65,NA,NA,896.19,39.29,19.26,41.45,NA,66,72.91,10308730,44.64
BTN,2013,87.42,NA,90.95,2016.51,56.34,10.96,32.7,NA,58.26,71.32,728889,37.15
BOL,2013,89.51,NA,88.02,2435.15,32.76,16.72,50.52,46.09,58.78,79.8,10743349,67.7
BIH,2013,99.5,NA,NA,3505.64,18.86,29.82,51.32,28.12,33.99,57.38,3617559,46.52
BWA,2013,57.97,NA,NA,4414.17,23.26,16.28,60.46,46.2,54.65,67.22,2217278,65.57
BRA,2013,99.58,NA,97.32,8077.4,11,23.33,65.67,55.93,52.36,75.66,201721767,85.21
BGR,2013,95.33,NA,95.34,5504.14,6.66,30.19,63.15,29.64,48.58,59.67,7265115,73.31
BFA,2013,15.39,NA,66.97,530.71,77.59,6.06,16.35,NA,57.95,75.6,17636408,26.35
BDI,2013,6.9,NA,NA,185.37,86.73,3.36,9.91,NA,80.59,77.51,10149577,11.48
CPV,2013,84.27,NA,93.21,2416.77,16.51,18.01,65.48,NA,49.77,68.76,539940,63.32
KHM,2013,50.9,NA,NA,937.21,49.52,19.28,31.19,71.89,62.58,75.92,14999683,21.42
CMR,2013,56.32,NA,NA,1054.96,49.47,13.61,36.92,NA,67.89,78.57,21632850,53.37
CAN,2013,100,NA,99.43,36051.63,1.77,20.33,77.9,63.83,62.17,70.87,35082954,81.18
