country,year,electricity,fiaccount,enrollment,gnipc,agemployment,indemployment,servicesemployment,lfp,lfpfemale,lfpmale,population,urbanpop
KHM,2004,14.2,NA,NA,505.06,64.05,12.43,23.52,77.74,69.76,79.8,13016371,19.06
CMR,2004,47.1,NA,NA,979.56,62.88,10.55,26.57,NA,78.04,85.72,16809407,47.94
CAN,2004,100,NA,NA,32248.86,2.02,23.05,74.93,66.84,61.99,73.17,31940655,80.05
CAF,2004,6.99,NA,NA,NA,74.96,6.9,18.14,NA,63.32,77.42,4115138,37.97
TCD,2004,3.5,NA,NA,NA,78,3.95,18.05,NA,57.61,76.96,9613503,21.77
CHL,2004,97.53,NA,NA,6685.46,13.14,23.3,63.56,36.35,39.24,72.1,16017966,86.73
CHN,2004,97.68,NA,NA,2321.38,46.9,22.5,30.6,NA,67.9,81.11,1296075000,41.14
COL,2004,95.28,NA,94.56,3242.43,19.91,20.24,59.85,54.8,52.96,81,41648268,75.62
COM,2004,48.71,NA,NA,1043.52,55.72,14.26,30.03,15.71,32.6,50.81,581154,27.9
COD,2004,8.96,NA,NA,197.41,72.93,7.94,19.13,NA,71.24,73.83,54815607,37
COG,2004,33.02,NA,NA,364.5,40.7,23.22,36.08,NA,66.82,69.07,3543012,60.53
CRI,2004,98.95,NA,NA,7284.12,14.88,22.07,63.05,47.66,40.84,78.8,4252800,64.39
CIV,2004,52.45,NA,NA,NA,50.48,11.35,38.17,NA,50.53,79.2,18544903,44.82
HRV,2004,99.93,NA,NA,8670.25,16.97,29.64,53.39,40.03,43.57,59.56,4304600,54.15
CUB,2004,96.62,NA,98.08,4100.87,21.16,19.39,59.45,NA,37.8,68.1,11225294,76.04
CZE,2004,99.98,NA,NA,10751.88,4.45,39.3,56.26,35.84,50.46,68.05,10197101,73.67
DNK,2004,100,NA,98.26,40148.88,3.27,23.69,73.04,66.43,60.38,71.68,5404523,85.57
DJI,2004,56.58,NA,35.31,NA,2.23,4.79,92.98,NA,16.07,54.35,818373,76.72
DMA,2004,85.01,NA,90.36,NA,NA,NA,NA,NA,NA,NA,68574,66.3
DOM,2004,90.32,NA,84.6,3793.02,14.24,23.16,62.6,41.78,38.91,74.37,9043127,66
ECU,2004,94.76,NA,NA,3355.76,30.44,17.97,51.59,54.03,52.7,82.48,13534593,61.51
EGY,2004,97.84,NA,NA,2253.58,31.83,19.96,48.21,NA,19.7,70.16,77522427,42.98
SLV,2004,87.36,NA,NA,2866.58,19.13,23.69,57.18,46.99,44.48,78.46,6035655,61.11
GNQ,2004,64.95,NA,NA,NA,56.15,14.98,28.87,NA,50.53,62.21,826355,56.03
